id,text,split
1463245505031512074,caris tu lo robas y si eso luego pides permiso jajaajj parodia parodia,"[0.15384615384615385, 0.23076923076923078, 0.6153846153846154]"
1463244365149741060,pues vaya con youtube a un t o como tu que nos haces re r y ser felices te desmonetizan tus directos y a otros que solo saben dar pena y dar puyitas sibilinamente hasta le premian el mundo al rev s vamos,"[0.27906976744186046, 0.06976744186046512, 0.6511627906976745]"
1463244091362201600,ung last na may ganto di ba natalo so lam na this,"[0.3333333333333333, 0.4166666666666667, 0.25]"
1463243886306885633,what do you do ba when have makulog we make putol it di ba,"[0.5, 0.35714285714285715, 0.14285714285714285]"
1463243390603370496,so relaxing pero mas relaxing sana kung sa pag balik ko sa elyu eh may matatawag na akong special someone di yung lagi akong chaperone di ba,"[0.2222222222222222, 0.48148148148148145, 0.25925925925925924]"
1463243369434415106,proud ako hindi char lang hahhahahaha paano ba naman kasi di ba before pag nagsasalita ako ng english e pautal utal ako pero nag improve na ngayon tuloy tuloy na yung pag sasalita ko huhu,"[0.17142857142857143, 0.7428571428571429, 0.08571428571428572]"
1463242814146236416,pero at least alam niya hometown ng mga players di ba hahajahahaha,"[0.25, 0.5833333333333334, 0.16666666666666666]"
1463242777261711371,pues entonces yo soy una lela por que me ti o el pelo de amarillo,"[0.2, 0.13333333333333333, 0.6666666666666666]"
1463242653215215617,colbert has a security squad of probably a dozen dudes with guns he has no business commenting on self defense,"[0.95, 0.0, 0.05]"
1463242056768307211,si es as envidia pura y dura nada m s a l le gustar tener apalabrado su dinero que prefiere tener un coche que se cae a pedazos para dar pena que gastarse los cuartos en un buen coche e ir seguro cuando vaya de viaje,"[0.21739130434782608, 0.10869565217391304, 0.6739130434782609]"
1463242009049665538,hahahahaha di ba pwede idaan nalang sa kiss,"[0.125, 0.5, 0.375]"
1463240945206378500,ay di ba alter,"[0.25, 0.75, 0.0]"
1463240598110945289,stop asking for discount if you cannot afford it do not buy it do you ask for discount sa sm you don t di ba so why do that to a lot more smaller businesses kklk,"[0.75, 0.08333333333333333, 0.16666666666666666]"
1463240325632249857,so basically he died with covid not of covid,"[0.7777777777777778, 0.0, 0.2222222222222222]"
1463239799536377865,the trauma u gave me tapos ganyan ka ngayon ang tanda mo na di ba uso character development,"[0.3333333333333333, 0.5555555555555556, 0.1111111111111111]"
1463239450398539780,javi tu int ntalo una y otra vez hasta que se cansen y por pesao te lo den jajajjaja es broma pero el que lo sigue lo consigue as que paciencia alg n d a cuando menos te lo esperes te lo dan y si no hacemos un escrito pa que te lo den mucha suerte,"[0.32142857142857145, 0.10714285714285714, 0.5714285714285714]"
1463237927874539520,esta tipa no sabe que hacer para sobresalir y seguir teniendo su silla en s lvame lo mismo habla por con dolores v zquez que ahora dice que apoya a olga,"[0.2903225806451613, 0.16129032258064516, 0.5483870967741935]"
1463237844475035654,alam ko nga matagal na syang kinukuha nyan siguro ngayon nga lang sya pumayag dahil confident at di na mahigpit yng mgt nya syempre may image din naman dati na ll atsaka di ba problem nya din dati built nya,"[0.1, 0.525, 0.35]"
1463235762783080452,tangina di ba talaga niya tatantanan si anji kakapuna niya nakakabwisit laging mali ng iba yung nakikita kahit wala namang mali pero sariling pagkakamali di makita seryoso ka ba tangina talaga,"[0.0, 0.7419354838709677, 0.22580645161290322]"
1463235710136238081,hahaha ohhh di ba beke nemen,"[0.0, 0.3333333333333333, 0.6666666666666666]"
1463235519773437954,sino ba naman ako para suyuin di ba,"[0.0, 0.875, 0.125]"
1463235202952667142,di ba bwesit kaayo sya hahahaha giatay kolera kaayong dako murag gwapa feel jud nya patulan siyang eian dako jud kaayo siyag kasuko kang alexa,"[0.04, 0.52, 0.44]"
1463234578928205829,gusto ko na raw bang mamatay di ba obvious,"[0.2222222222222222, 0.5555555555555556, 0.2222222222222222]"
1463233638020132872,tienes toda la raz n,"[0.2, 0.2, 0.6]"
1463233579895328772,di ba pwede sabihin kay sir na nilindol yung lote kaya di ako makagawa ng floor plan,"[0.11764705882352941, 0.7058823529411765, 0.11764705882352941]"
1463233457841225735,il cane di ba io se fossi al suo posto,"[0.1, 0.3, 0.6]"
1463233262482964482,di ba pwede makita sa cctv,"[0.0, 0.6666666666666666, 0.3333333333333333]"
1463232573249757190,mas matured pa mag isip si kyle sa mga adult hms mga pisti bat di ba nila hayaan yung kyji jusko mga epal kaurat,"[0.08333333333333333, 0.4166666666666667, 0.5]"
1463232184379228169,si la pobre de evelyn y su pareja wilson creo que se llama est esperando unas disculpas de parte de este individuo que esperen sentados que de pie se van a cansar todos tienen la culpa menos yo,"[0.18421052631578946, 0.18421052631578946, 0.631578947368421]"
1463230452739702784,o di ba kung kailan di na tayo nagkikita sa school saka mo ko ichachat kung kailan emotionally unavailable ako atm,"[0.14285714285714285, 0.6666666666666666, 0.14285714285714285]"
1463230028200611840,ikaw ang hudas mistress ka lang mang aagaw ng asawa sino si ronnie saba dayan driver mo di ba,"[0.10526315789473684, 0.6842105263157895, 0.21052631578947367]"
1463229699040047108,kasi di si gremninja gamit nilang hero eh yun kaya best pokemon di ba pare,"[0.13333333333333333, 0.4, 0.4]"
1463228509606670336,umorder ako sa shopee ng dress a plain rust colored dress na add to cart ko siya and na checkout meaning available yung product aba pinalitan ba naman ng ibang klase kasi wala daw stock and di nagsabi sa akin hahahaha tama naman mainis ako di ba,"[0.3404255319148936, 0.5531914893617021, 0.0851063829787234]"
1463226783789027329,just got shipment notif for the signora cosplay whats good yall,"[0.8181818181818182, 0.0, 0.18181818181818182]"
1463226423032774656,ppp ini kenapa ya kalo sudah pernah famplan dan mau famplan di ba lain gak bisa ya,"[0.17647058823529413, 0.23529411764705882, 0.5882352941176471]"
1463226046950502403,ano na naman ba sumiya bored na bored ka na ba di ba dapat masaya ka kasi nanalo sila mukhang hindi ka kuntento e lika dito yayakapin kita ng sobrang higpit kawawa ka naman mukhang kulang ka sa pagmamahal,"[0.07692307692307693, 0.7435897435897436, 0.15384615384615385]"
1463225480920764420,hudas sinong hudas pppsssttt frailties of a woman di ba ikaw ang hudas driver mo mayroon asawa pinatulan mo gustong mong kainin pala is was saba variety of bananas,"[0.3448275862068966, 0.4482758620689655, 0.20689655172413793]"
1463225272698736643,why do you guys don t understand it di ba nag kwento na yung isa kung gaano sila ka close sa labas na ganun talaga sila so bakit balik parin sa ganto yung issue ano gusto mo mangyare maui,"[0.2564102564102564, 0.48717948717948717, 0.23076923076923078]"
1463225168378007554,haynako di ba pwedeng bawiin yung unang sinabi ko na lubusin nang saktan si ash hahhaha,"[0.0625, 0.75, 0.1875]"
