id,split
1463245505031512074,"(0.15384615384615385, 0.23076923076923078, 0.6153846153846154)"
1463244365149741060,"(0.27906976744186046, 0.06976744186046512, 0.6511627906976745)"
1463244091362201600,"(0.3333333333333333, 0.4166666666666667, 0.25)"
1463243886306885633,"(0.5, 0.35714285714285715, 0.14285714285714285)"
1463243390603370496,"(0.2222222222222222, 0.48148148148148145, 0.25925925925925924)"
1463243369434415106,"(0.17142857142857143, 0.7428571428571429, 0.08571428571428572)"
1463242814146236416,"(0.25, 0.5833333333333334, 0.16666666666666666)"
1463242777261711371,"(0.2, 0.13333333333333333, 0.6666666666666666)"
1463242653215215617,"(0.95, 0.0, 0.05)"
1463242056768307211,"(0.21739130434782608, 0.10869565217391304, 0.6739130434782609)"
1463242009049665538,"(0.125, 0.5, 0.375)"
1463240945206378500,"(0.25, 0.75, 0.0)"
1463240598110945289,"(0.75, 0.08333333333333333, 0.16666666666666666)"
1463240325632249857,"(0.7777777777777778, 0.0, 0.2222222222222222)"
1463239799536377865,"(0.3333333333333333, 0.5555555555555556, 0.1111111111111111)"
1463239450398539780,"(0.32142857142857145, 0.10714285714285714, 0.5714285714285714)"
1463237927874539520,"(0.2903225806451613, 0.16129032258064516, 0.5483870967741935)"
1463237844475035654,"(0.1, 0.525, 0.35)"
1463235762783080452,"(0.0, 0.7419354838709677, 0.22580645161290322)"
1463235710136238081,"(0.0, 0.3333333333333333, 0.6666666666666666)"
1463235519773437954,"(0.0, 0.875, 0.125)"
1463235202952667142,"(0.04, 0.52, 0.44)"
1463234578928205829,"(0.2222222222222222, 0.5555555555555556, 0.2222222222222222)"
1463233638020132872,"(0.2, 0.2, 0.6)"
1463233579895328772,"(0.11764705882352941, 0.7058823529411765, 0.11764705882352941)"
1463233457841225735,"(0.1, 0.3, 0.6)"
1463233262482964482,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463232573249757190,"(0.08333333333333333, 0.4166666666666667, 0.5)"
1463232184379228169,"(0.18421052631578946, 0.18421052631578946, 0.631578947368421)"
1463230452739702784,"(0.14285714285714285, 0.6666666666666666, 0.14285714285714285)"
1463230028200611840,"(0.10526315789473684, 0.6842105263157895, 0.21052631578947367)"
1463229699040047108,"(0.13333333333333333, 0.4, 0.4)"
1463228509606670336,"(0.3404255319148936, 0.5531914893617021, 0.0851063829787234)"
